,organism.type,organism,structure.type,structure,organism_name.type,organism_name,ipniID.type,ipniID,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
36,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q105113433,literal,Panax,literal,85871-1,literal,IIEZTQGGXCNWOJ-UHFFFAOYSA-N,literal,O=C(OC1CC2(C3=CCC4(C)C5C(O)CC(C(C)C)C5(C)CCC4(C)C3C(O)CC2C(C)(C)C1OC6OC(CO)C(O)C(O)C6O)C)C,en,literal,"[1,6-Dihydroxy-3a,5a,8,8,11a,13a-hexamethyl-3-propan-2-yl-9-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,2,3,4,5,5b,6,7,7a,9,10,11,13,13b-tetradecahydrocyclopenta[a]chrysen-10-yl] acetate",literal,10.1021/NP0201117,,,,
37,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q110078600,literal,Panax,literal,85871-1,literal,SLPPUMWTJMNBCW-UHFFFAOYSA-N,literal,OCC1OC(OC2CC3(C)C(CC(O)C4C(C(=CCCC(O)(C)C)C)CCC43C)C5(C)CCC(O)C(C)(C)C25)C(O)C(O)C1O,en,literal,"2-[[3,12-dihydroxy-17-(6-hydroxy-6-methylhept-2-en-2-yl)-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1007/S11418-005-0027-X,,,,
38,uri,http://www.wikidata.org/entity/Q132636,uri,http://www.wikidata.org/entity/Q418628,literal,Aralia,literal,30023289-2,literal,MIJYXULNPSFWEK-GTOFXWBISA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,en,literal,oleanolic acid,literal,10.1007/BF00567339,literal,508-02-1,literal,CHEMBL168
39,uri,http://www.wikidata.org/entity/Q8085880,uri,http://www.wikidata.org/entity/Q105384695,literal,Tetrapanax,literal,3112-1,literal,ZVVPEBOPTVRCNV-UHFFFAOYSA-N,literal,O=C(O)C12C(=C3C=CC4C5(C)CCC(=O)C(C)(C)C5CCC4(C)C3(C)CC1)CC(C(=O)C2)(C)C,en,literal,"2,2,6a,6b,9,9,12a-Heptamethyl-3,10-dioxo-1,4,5,6,6a,7,8,8a,11,12-decahydropicene-4a-carboxylic acid",literal,10.1016/J.PHYTOCHEM.2006.10.007,,,,
40,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q110077232,literal,Panax,literal,85871-1,literal,PSOUXXNNRFNUAY-AMSKRYFQSA-N,literal,OCC1OC(OC2CC3(C)C(CC(O)C4C(CCC43C)C5(OC(CC5)C(O)(C)C)C)C6(C)CCC(O)C(C)(C)C26)C(O)C(O)C1O,en,literal,"(2R,3R,4S,5R,6R)-2-{[(1S,3aR,3bR,5S,5aR,7S,9aR,9bR,11R,11aR)-7,11-dihydroxy-1-[(2S,5R)-5-(2-hydroxypropan-2-yl)-2-methyloxolan-2-yl]-3a,3b,6,6,9a-pentamethyl-dodecahydro-1H-cyclopenta[a]phenanthren-5-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1016/S0031-9422(00)94588-6,,,,
41,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q110077404,literal,Panax,literal,85871-1,literal,FTUHDNOGLPOCNN-UHFFFAOYSA-N,literal,O=C(OC1OC(OC2CCC3(C)C(CCC4(C)C3CC(O)C5C(CCC54C)C(OC6OC(CO)C(O)C(O)C6O)(C)CCC=C(C)C)C2(C)C)C(OC7(OC(CO)C(O)C(O)C7O)C)C(O)C1O)C,,literal,Q110077404,literal,10.1248/CPB.55.1342,,,,
42,uri,http://www.wikidata.org/entity/Q132636,uri,http://www.wikidata.org/entity/Q5697238,literal,Aralia,literal,30023289-2,literal,PGOYMURMZNDHNS-MYPRUECHSA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)O)C)C)C2C1)C)C(=O)O)C,en,literal,hederagenin,literal,10.1007/BF00567339,literal,465-99-6,literal,CHEMBL486400
43,uri,http://www.wikidata.org/entity/Q132636,uri,http://www.wikidata.org/entity/Q104951982,literal,Aralia,literal,30023289-2,literal,CAVHSWOJPOOWEG-UHFFFAOYSA-N,literal,O=C(O)C1OC(OC2CCC3(C)C4CC=C5C6CC(C)(C)CCC6(C(=O)OC7OC(CO)C(O)C(O)C7O)CCC5(C)C4(C)CCC3C2(C)C)C(OC8OCC(O)C(O)C8O)C(OC9OC(CO)C(O)C(O)C9O)C1O,en,literal,Elatoside K,literal,10.1248/CPB.48.838,,,,
44,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q15410268,literal,Panax,literal,85871-1,literal,KQSFNXMDCOFFGW-GNDIVNLPSA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)OC7C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C,en,literal,Chikusetsusaponin-IV,literal,10.1016/J.JEP.2011.12.024,literal,7518-22-1,literal,CHEMBL1773982
45,uri,http://www.wikidata.org/entity/Q7213683,uri,http://www.wikidata.org/entity/Q27136466,literal,Panax,literal,85871-1,literal,NFZYDZXHKFHPGA-QQHDHSITSA-N,literal,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C,en,literal,Chikusetsusaponin-V,literal,10.1016/J.PHYTOCHEM.2013.03.021,literal,34367-04-9,literal,CHEMBL488317
