,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.type,structureLabel,refDOI.type,refDOI,ipniID.type,ipniID,structureLabel.xml:lang,structure_cas.type,structure_cas,chembl_id.type,chembl_id
39,uri,http://www.wikidata.org/entity/Q2880538,uri,http://www.wikidata.org/entity/Q104990479,literal,Balanites wilsoniana,literal,DWCSNWXARWMZTG-VKROHFNGSA-N,literal,OC1C=C2CCC3C(CCC4(C)C3CC5OC6(OCC(C)CC6)C(C)C54)C2(C)CC1,literal,"(1S,2S,4S,5'R,6R,7S,8R,9S,12S,13R,16S)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-17-ene-6,2'-oxane]-16-ol",literal,10.1016/0031-9422(73)80028-7,literal,873126-1,en,,,,
40,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104251609,literal,Balanites aegyptiacus,literal,NPNNKDMSXVRADT-UITAMQMPSA-N,literal,COc1cc(C=CC(=O)NCCc2ccc(O)cc2)ccc1O,literal,n-cis-Feruloyltyramine,literal,10.1016/S0367-326X(99)00149-5,,,en,literal,80510-09-4,,
41,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q27106367,literal,Balanites aegyptiaca,literal,OLAMGHNQGZIWHZ-YIKYYZBWSA-N,literal,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,literal,Deltonin,literal,10.1016/S0031-9422(00)84687-7,literal,813589-1,en,literal,55659-75-1,literal,CHEMBL2207416
42,uri,http://www.wikidata.org/entity/Q3595386,uri,http://www.wikidata.org/entity/Q105329103,literal,Balanites roxburghii,literal,XJOTXMLDNWCDRH-HAUZKCKMSA-N,literal,OCC1OC(OC2C(O)C(OC(CO)C2O)OC3C(O)C(OC4OC(C)C(O)C(O)C4O)C(OC5CC6=CCC7C(CCC8(C)C7CC9OC%10(OCC(C)CC%10)C(C)C98)C6(C)CC5)OC3CO)C(O)C(O)C1O,literal,Zingiberen newsaponin,literal,10.1016/S0031-9422(00)84687-7,literal,813594-1,en,,,,
43,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105232351,literal,Balanites aegyptiaca,literal,QZSVZGSMQMMOAO-FJFPYYQCSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)CC7)C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(OC9OC(COC%10OCC(O)C(O)C%10O)C(O)C(O)C9O)C1O,literal,Q105232351,literal,10.1016/0040-4020(82)80095-1,literal,813589-1,,,,,
44,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104667826,literal,Balanites aegyptiacus,literal,CCWZMAUUZZHJLK-PTGOWILMSA-N,literal,OCC1OC(OC2CC3=CCC4C(CC(O)C5(C)C4CC(OC6OC(CO)C(O)C(O)C6O)C5C(C)CCCC(C)C)C3(C)CC2)C(O)C(O)C1O,literal,Q104667826,literal,10.1002/1522-2675(200204)85:4<1019::AID-HLCA1019>3.0.CO;2-S,,,,,,,
45,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104667960,literal,Balanites aegyptiacus,literal,DYAJQSYEQXVRFW-HPDGWUOHSA-N,literal,OCC1OC(OC2C(O)C(OC3OC(C)C(O)C(O)C3O)C(OC4CC5=CCC6C(CCC7(C)C6CC8OC9(OCC(C)CC9)C(C)C87)C5(C)CC4)OC2CO)C(O)C(OC%10OCC(O)C(O)C%10O)C1O,literal,Q104667960,literal,10.1002/1522-2675(200204)85:4<1019::AID-HLCA1019>3.0.CO;2-S,,,,,,,
46,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q104667960,literal,Balanites aegyptiacus,literal,DYAJQSYEQXVRFW-HPDGWUOHSA-N,literal,OCC1OC(OC2C(O)C(OC3OC(C)C(O)C(O)C3O)C(OC4CC5=CCC6C(CCC7(C)C6CC8OC9(OCC(C)CC9)C(C)C87)C5(C)CC4)OC2CO)C(O)C(OC%10OCC(O)C(O)C%10O)C1O,literal,Q104667960,literal,10.1021/NP50078A002,,,,,,,
47,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q27283375,literal,Balanites aegyptiacus,literal,NXCPMSUBVRGTSE-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C(=O)CCO)O,literal,beta-Hydroxypropiovanillone,literal,10.1016/S0367-326X(99)00149-5,,,en,literal,2196-18-1,literal,CHEMBL485875
48,uri,http://www.wikidata.org/entity/Q87595642,uri,http://www.wikidata.org/entity/Q105281991,literal,Balanites aegyptiacus,literal,UYWFJVGXXZDJIF-DIKYDDMGSA-N,literal,OCC1OC(OCC(C)CCC2(O)OC3CC4C5CC=C6CC(OC7OC(CO)C(OC8OC(CO)C(O)C(OC9OCC(O)C(O)C9O)C8O)C(O)C7OC%10OC(C)C(O)C(O)C%10O)CCC6(C)C5CCC4(C)C3C2C)C(O)C(O)C1O,literal,Q105281991,literal,10.1002/MRC.1879,,,,,,,
49,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q414779,literal,Balanites aegyptiaca,literal,BGEBZHIAGXMEMV-UHFFFAOYSA-N,literal,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,literal,bergapten,literal,10.1055/S-2007-971481,literal,813589-1,en,literal,484-20-8,literal,CHEMBL24171
50,uri,http://www.wikidata.org/entity/Q606704,uri,http://www.wikidata.org/entity/Q105310844,literal,Balanites aegyptiaca,literal,WQLVFSAGQJTQCK-WVGASEPLSA-N,literal,OC1CC2=CCC3C(CCC4(C)C3CC5OC6(OCC(C)CC6)C(C)C54)C2(C)CC1,literal,"(1S,2S,4S,5'S,6R,7S,8R,9S,12R,13R,16S)-5',7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-ene-6,2'-oxane]-16-ol",literal,10.1016/S0031-9422(00)85706-4,literal,813589-1,en,,,,
